Wall time,Step,Value
1531921025.033947,0,6.86263301759027e-05
1531921616.150657,1881,0.0791197270154953
1531922218.768609,3806,0.7960988879203796
1531922818.563792,5733,0.8521121740341187
1531923419.530467,7664,0.8691315650939941
1531924017.872306,9596,0.8808464407920837
1531924617.109827,11526,0.8763803243637085
1531925217.533683,13457,0.8931270837783813
1531925817.278866,15390,0.9107858538627625
1531926417.621731,17323,0.9060184359550476
1531927015.952844,19260,0.918853759765625
1531927617.46327,21191,0.9258458614349365
1531928217.273699,23123,0.866602897644043
1531928817.247178,25055,0.912482500076294
1531929417.576305,26985,0.9150499105453491
1531930017.639515,28918,0.9102324843406677
1531930317.227266,30851,0.9216309785842896
1531930917.747852,32785,0.9378571510314941
1531931517.815013,34717,0.9121843576431274
1531932117.35568,36648,0.9314847588539124
1531932718.079642,38581,0.9109562635421753
1531933317.768814,40521,0.9311718940734863
1531933918.303603,42453,0.8963153958320618
1531934518.514527,44386,0.8886952996253967
1531935118.353439,46320,0.9225127696990967
1531935718.281046,48252,0.9284360408782959
1531936319.175748,50187,0.9403361082077026
1531936919.691606,52121,0.9277390837669373
1531937519.054727,54054,0.9112017154693604
1531938118.711412,55986,0.9062466621398926
1531938719.298422,57916,0.9316071271896362
1531939319.293812,59849,0.9101797938346863
1531939919.238927,61779,0.9138222336769104
1531940518.970906,63712,0.9038643836975098
1531941119.7926,65643,0.9032652974128723
1531941719.009745,67578,0.8899976015090942
1531942318.791268,69513,0.9305166602134705
1531942917.865038,71446,0.9259192943572998
1531943519.401029,73381,0.9108793139457703
1531944120.233122,75316,0.9352715015411377
1531944720.175715,77248,0.9264828562736511
1531945319.59691,79180,0.8913918733596802
1531945919.836116,81114,0.9071725010871887
1531946520.906111,83049,0.9072109460830688
1531947119.850203,84986,0.9184972047805786
1531947721.483694,86921,0.8797906041145325
1531948320.542281,88857,0.9061128497123718
1531948920.697253,90790,0.9091894626617432
1531949520.355541,92721,0.9011962413787842
1531950120.630988,94657,0.923995852470398
1531950720.881162,96589,0.9205482006072998
1531951320.857445,98521,0.9079420566558838
1531951921.1119,100457,0.9123287200927734
1531952520.861842,102388,0.8972988128662109
1531953120.478197,104323,0.9072863459587097
1531953721.620594,106255,0.9129864573478699
1531954321.394935,108190,0.9005745053291321
1531954921.592243,110126,0.9122961759567261
1531955522.223005,112061,0.9213457703590393
1531956121.783455,113993,0.9025506377220154
1531956722.248067,115927,0.9049094915390015
1531957323.257901,117862,0.9022092223167419
1531957923.646039,119793,0.9234628081321716
1531958523.351227,121718,0.9138866662979126
1531959123.007528,123650,0.8954682946205139
1531959723.465231,125587,0.8896634578704834
1531960322.838102,127516,0.9231925010681152
1531960923.105329,129453,0.9203397035598755
1531961522.025923,131388,0.9253912568092346
1531962123.782879,133325,0.9320301413536072
1531962725.692854,135260,0.8749427199363708
1531963326.651209,137190,0.8932037353515625
1531963927.3228,139119,0.9177823066711426
1531964524.5236,141046,0.9203583002090454
1531965126.39442,142972,0.9112066030502319
1531965726.021586,144879,0.892378032207489
1531966325.898043,146794,0.9204258918762207
1531966925.698035,148683,0.917778730392456
1531967524.048519,150545,0.9134360551834106
1531968122.826183,152416,0.9078086614608765
1531968723.445331,154286,0.8957124352455139
1531969322.434482,156158,0.8354063630104065
1531969923.727855,158037,0.8947767615318298
1531970523.071499,159918,0.9002094268798828
1531971124.307464,161789,0.8736629486083984
1531971724.297244,163658,0.8726742267608643
1531972325.230767,165555,0.8939607739448547
1531972923.969287,167458,0.9294919371604919
1531973526.043699,169327,0.9033693671226501
1531974125.015205,171192,0.8969532251358032
1531974724.905536,173059,0.8914336562156677
1531975324.715293,174923,0.9021064043045044
1531975925.484967,176798,0.9254744052886963
1531976527.598073,178668,0.9123455882072449
1531977123.846033,180536,0.8854929208755493
1531977724.389059,182447,0.9110254049301147
1531978324.729299,184329,0.9112182259559631
1531978925.585679,186217,0.899761974811554
1531979525.76044,188102,0.914152204990387
1531980125.422844,189991,0.877091109752655
1531980726.009698,191880,0.9342294335365295
1531981324.767975,193798,0.9159395694732666
1531981925.612711,195717,0.9086136221885681
1531982526.083436,197604,0.9160918593406677
1531983126.117626,199467,0.9232562184333801
1531983423.558539,200000,0.9237781763076782
